ID,UCSC_RefGene_Group,UCSC_RefGene_Name
cg02105393,5'UTR;5'UTR;5'UTR,ZFY;ZFY;ZFY
cg02107461,,
cg02126249,TSS1500,TSPY4
cg02129146,,
cg02233183,TSS1500;TSS200,NLGN4Y;NLGN4Y
cg02233190,TSS200,EIF1AY
cg02272584,,
cg02288797,,
cg02340092,Body;Body;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg02352633,Body,RBMY2EP
cg02402208,,
cg02407581,TSS1500,TTTY18
cg02432075,5'UTR,PCDH11Y
cg02494853,5'UTR;1stExon,PCDH11Y;PCDH11Y
cg02522936,Body,TTTY10
cg02577797,TSS1500;TSS200;TSS1500,ZFY;ZFY;ZFY
cg02582450,,
cg02606988,Body;Body,TSPY4;TSPY4
cg02616328,5'UTR;5'UTR;5'UTR,ZFY;ZFY;ZFY
cg02624968,,
cg02730008,TSS1500,TMSB4Y
cg02802508,TSS1500;TSS1500;Body,TSPY4;FAM197Y2;TSPY4
cg02839557,TSS200;TSS200;TSS200,TBL1Y;TBL1Y;TBL1Y
cg02842889,TSS1500;1stExon;TSS1500;5'UTR,ZFY;ZFY;ZFY;ZFY
cg02884332,Body,EIF1AY
cg03052502,TSS1500,FAM197Y2
cg03055837,TSS1500;TSS1500,NLGN4Y;NLGN4Y
cg03123709,3'UTR,TMSB4Y
cg03155755,,
cg03244189,Body,TTTY14
cg03258315,,
cg03266527,Body;Body;Body,UTY;UTY;UTY
cg03278611,Body;Body;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg03359666,,
cg03416979,,
cg03430010,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon,UTY;UTY;UTY;UTY;UTY;UTY
cg03441493,,
cg03443143,Body;TSS1500,TSPY4;FAM197Y2
cg03515816,,
cg03515901,5'UTR;1stExon,TGIF2LY;TGIF2LY
cg03533500,,
cg03535417,Body;TSS1500,TSPY4;FAM197Y2
cg03601053,5'UTR;1stExon;TSS1500,DDX3Y;DDX3Y;DDX3Y
cg03672679,,
cg03683899,TSS1500;TSS200;TSS1500,ZFY;ZFY;ZFY
cg03695421,,
cg03706273,1stExon;Body;5'UTR;TSS1500,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y
cg03750315,Body,EIF1AY
cg03767353,,
cg03769088,,
cg03827298,TSS200;TSS200,RBMY1F;RBMY2FP
cg03905640,Body;Body,FAM41AY2;FAM41AY1
cg03930849,TSS200;TSS200;TSS200,TTTY4B;TTTY4;TTTY4C
cg04016144,TSS1500;Body,TSPY4;TSPY4
cg04021548,TSS1500,NLGN4Y
cg04023335,,
cg04042030,TSS200;TSS200;TSS200,TBL1Y;TBL1Y;TBL1Y
cg04123665,,
cg04169747,5'UTR;1stExon,SRY;SRY
cg04170994,TSS200;TSS200,LOC401630;LOC401629
cg04193779,Body,TTTY20
cg04303809,,
cg04351468,Body,RBMY1A3P
cg04419680,Body;5'UTR;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg04448376,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon,UTY;UTY;UTY;UTY;UTY;UTY
cg04462340,,
cg04477336,Body,TGIF2LY
cg04493908,,
cg04559508,,
cg04576441,,
cg04689676,Body,PRKY
cg04691144,TSS1500;TSS200,NLGN4Y;NLGN4Y
cg04790916,Body;Body;Body,UTY;UTY;UTY
cg04792227,,
cg04817258,,
cg04831594,,
cg04840163,5'UTR;5'UTR;5'UTR,ZFY;ZFY;ZFY
cg04864270,,
cg04958669,Body,TSPY4
cg04964672,,
cg05051262,,
cg05098815,Body,RBMY3AP
cg05128824,TSS1500,DDX3Y
cg05163709,TSS1500,PRKY
cg05202434,TSS1500,TTTY19
cg05213048,,
cg05230942,TSS1500;Body,CD24;TTTY14
cg05367916,,
cg05378695,TSS1500;TSS1500,TTTY8;TTTY8B
cg05408674,,
cg05480730,Body,PRKY
cg05530472,TSS1500,AMELY
cg05544622,TSS1500;Body,TSPY1;TSPY4
cg05557315,,
cg05608794,,
cg05618150,TSS1500,PRKY
cg05621349,TSS200,CYorf15A
cg05672930,5'UTR,CYorf15A
cg05678960,,
cg05725925,TSS200,CYorf15A
cg05782707,Body,TTTY22
cg05865243,TSS200,TSPY2
cg05890011,TSS200,TTTY15
cg05939513,Body;Body;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg05940236,Body;Body,DDX3Y;DDX3Y
cg05954446,Body,AMELY
cg05964935,,
cg05999368,,
cg06060201,TSS200;TSS200,LOC401630;LOC401629
cg06065495,TSS1500,BCORL2
cg06231362,,
cg06237805,,
cg06247034,TSS1500;TSS1500,NLGN4Y;NLGN4Y
cg06322277,TSS200,RPS4Y2
cg06479204,1stExon;1stExon;1stExon,UTY;UTY;UTY
cg06502680,TSS1500,CYorf15A
cg06558765,5'UTR;1stExon;1stExon;5'UTR;5'UTR,ZFY;ZFY;ZFY;ZFY;ZFY
cg06576965,Body,TTTY18
cg06587955,3'UTR,TSPY4
cg06628792,TSS1500,TTTY14
cg06636270,TSS1500,TTTY20
cg06855731,,
cg06865724,TSS1500,TTTY5
cg07456370,,
cg07607525,Body,PRKY
cg07728631,,
cg07731488,1stExon;5'UTR,CYorf15A;CYorf15A
cg07747963,TSS1500,RPS4Y2
cg07765982,Body;Body,TTTY1;LOC100101116
cg07795413,5'UTR;Body;5'UTR;1stExon;Body,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y
cg07851521,TSS1500,TSPY2
cg07939587,,
cg07950979,Body;Body;Body,UTY;UTY;UTY
cg08045599,TSS1500,PRKY
cg08053115,Body;Body,TTTY1;LOC100101116
cg08160949,,
cg08242338,1stExon,TSPY2
cg08258654,Body;Body;Body,TSPY4;TSPY4;TSPY3
cg08265308,,
cg08314875,TSS1500;TSS1500,DDX3Y;DDX3Y
cg08357313,TSS1500,RBMY1A3P
cg08455548,TSS1500,PCDH11Y
cg08528516,TSS200;TSS1500,DDX3Y;DDX3Y
cg08593141,,
cg08596608,,
cg08635406,TSS1500;TSS1500;Body,TSPY4;FAM197Y2;TSPY4
cg08673225,TSS1500,RPS4Y1
cg08680991,,
cg08702825,,
cg08715207,Body,EIF1AY
cg08739478,,
cg08816194,TSS1500;Body;5'UTR;Body,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y
cg08820785,Body,EIF1AY
cg08921682,5'UTR;5'UTR;5'UTR,TBL1Y;TBL1Y;TBL1Y
cg09081202,,
cg09093035,,
cg09197443,,
cg09223632,,
cg09228985,TSS1500,BCORL2
cg09230658,,
cg09300505,Body;Body;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg09350919,TSS1500;Body,TSPY3;TSPY4
cg09408193,,
cg09460641,,
cg09546548,TSS200,PRKY
cg09595415,TSS200,SRY
cg09703571,TSS1500,PCDH11Y
cg09728865,5'UTR;5'UTR;5'UTR,TBL1Y;TBL1Y;TBL1Y
cg09730640,,
cg09732580,,
cg09748856,Body;5'UTR;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg09804407,TSS1500;Body;5'UTR;Body,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y
cg09829904,Body;Body;5'UTR,ZFY;ZFY;ZFY
cg09856092,TSS200;5'UTR,DDX3Y;DDX3Y
cg09898573,,
cg10051237,,
cg10067523,Body,TTTY11
cg10076560,TSS200,CYorf15A
cg10172760,TSS1500,EIF1AY
cg10213302,TSS1500;TSS200;TSS1500,ZFY;ZFY;ZFY
cg10239257,Body;Body,TSPY4;TSPY3
cg10252249,,
cg10267609,TSS1500;TSS1500,RBMY1F;RBMY2FP
cg10338539,TSS200,SRY
cg10363397,,
cg10422744,,
cg10465579,TSS1500,PCDH11Y
cg10557773,TSS1500,ZFY
cg10593480,Body,EIF1AY
cg10620659,TSS1500,EIF1AY
cg10646950,Body;Body;Body;Body;Body;Body,HSFY1;TTTY9B;HSFY2;HSFY2;TTTY9A;HSFY1
cg10666546,,
cg10691859,TSS1500,NCRNA00185
cg10698069,TSS200;5'UTR,DDX3Y;DDX3Y
cg10799208,TSS1500,TTTY10
cg10811597,Body,TTTY14
cg10835413,,
cg10841270,TSS1500,RPS4Y2
cg10959847,,
cg10990737,Body;5'UTR;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg11021362,TSS200,TTTY13
cg11131351,TSS1500;TSS1500;TSS1500,ZFY;ZFY;ZFY
cg11225091,5'UTR;1stExon,EIF1AY;EIF1AY
cg11684211,TSS1500,TTTY14
cg11816202,TSS200,TTTY14
cg11898347,TSS200,SRY
cg12456573,,
cg13252613,TSS1500;TSS1500,LOC100101121;TTTY23
cg13268984,,
cg13308744,TSS1500,EIF1AY
cg13365400,Body;Body;Body,TTTY4B;TTTY4C;TTTY4
cg13419214,TSS1500;TSS1500,TTTY8B;TTTY8
cg13618458,,
cg13654344,3'UTR;1stExon,SRY;SRY
cg13765957,Body,TTTY14
cg13805219,,
cg13808036,TSS1500;TSS1500,RBMY1F;RBMY2FP
cg13845521,Body,TTTY14
cg13851368,,
cg13861458,1stExon;Body,TSPY1;TSPY4
cg13884608,3'UTR,PCDH11Y
cg14005657,TSS1500;Body,TSPY3;TSPY4
cg14029254,Body,RPS4Y2
cg14133106,,
cg14151065,,
cg14157445,TSS1500,TTTY15
cg14170959,TSS1500;TSS1500;TSS1500,ZFY;ZFY;ZFY
cg14180491,5'UTR;5'UTR;1stExon,DDX3Y;DDX3Y;DDX3Y
cg14210405,,
cg14248084,,
cg14273923,,
cg14303457,,
cg14442616,3'UTR;3'UTR,DDX3Y;DDX3Y
cg14463736,3'UTR,TMSB4Y
cg14466580,,
cg14467015,TSS1500,TTTY13
cg14492024,TSS200,CYorf15A
cg14526044,TSS1500;TSS1500;TSS1500,ZFY;ZFY;ZFY
cg14671357,Body,TTTY12
cg14720093,,
cg14741114,TSS200,TTTY15
cg14742615,,
cg14778208,Body,TTTY16
cg14931215,3'UTR;3'UTR;3'UTR,KDM5D;KDM5D;KDM5D
cg14933403,Body,PRKY
cg14972466,TSS1500;TSS1500;TSS1500,ZFY;ZFY;ZFY
cg15027426,Body,BCORL2
cg15059553,TSS200,EIF1AY
cg15183843,,
cg15197499,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon,TBL1Y;TBL1Y;TBL1Y;TBL1Y;TBL1Y;TBL1Y
cg15273954,TSS1500,TTTY15
cg15281205,Body,TTTY14
cg15295597,5'UTR;1stExon,PCDH11Y;PCDH11Y
cg15329860,1stExon;5'UTR;1stExon;1stExon;5'UTR;5'UTR,KDM5D;KDM5D;KDM5D;KDM5D;KDM5D;KDM5D
cg15345074,TSS200,TTTY14
cg15422579,TSS200,EIF1AY
cg15429127,TSS200;5'UTR,DDX3Y;DDX3Y
cg15431336,5'UTR,PCDH11Y
cg15462332,Body;Body;Body,RBMY1D;RBMY1E;RBMY1B
cg15516537,Body;Body;Body;Body,RBMY1D;RBMY1A1;RBMY1E;RBMY1B
cg15563434,,
cg15662272,TSS200;TSS200;TSS200,KDM5D;KDM5D;KDM5D
cg15682806,TSS1500;TSS1500,LOC100101121;TTTY23
cg15682993,1stExon;5'UTR,CYorf15A;CYorf15A
cg15700967,Body;Body;Body,TBL1Y;TBL1Y;TBL1Y
cg15746461,TSS200,TTTY15
cg15758480,,
cg15781156,TSS1500,TTTY16
cg15794778,Body,BCORL2
cg15810474,Body;Body,TSPY1;TSPY4
cg15849038,,
cg15935877,TSS1500;Body,TSPY1;TSPY4
cg16292375,TSS200;TSS200,LOC401629;LOC401630
cg16552926,,
cg16626452,1stExon,TSPY4
cg16894943,TSS200;TSS200,LOC401630;LOC401629
cg17115812,,
cg17430262,,
cg17560699,TSS1500;TSS1500;TSS1500,UTY;UTY;UTY
cg17651935,,
cg17660627,5'UTR,CYorf15A
cg17741448,TSS200,RPS4Y2
cg17769199,TSS1500,FAM197Y2
cg17812515,,
cg17816615,Body;Body,DDX3Y;DDX3Y
cg17834650,TSS1500;Body,FAM197Y2;TSPY4
cg17837162,Body,TSPY4
cg17913570,,
cg17939569,Body;Body;Body;Body;Body,DAZ2;DAZ4;DAZ3;DAZ2;DAZ4
cg17972491,TSS1500,AMELY
cg18032798,Body,TMSB4Y
cg18058072,5'UTR;5'UTR;5'UTR,ZFY;ZFY;ZFY
cg18077436,TSS200;5'UTR,DDX3Y;DDX3Y
cg18085787,,
cg18113731,Body;5'UTR;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg18163559,,
cg18168924,Body,PRKY
cg18188392,,
cg19244032,Body;5'UTR;Body,NLGN4Y;NLGN4Y;NLGN4Y
cg20106158,,
cg20256738,1stExon,TSPY2
cg20401549,TSS1500,PRKY
cg20474581,TSS200,USP9Y
cg20764275,,
cg20864678,TSS200,CYorf15A
cg21106100,,
cg22051787,5'UTR;1stExon;5'UTR,RBMY1J;RBMY1J;RBMY1F
cg22509014,TSS200,TTTY20
cg23308414,,
cg23834181,,
cg24016855,TSS1500,TSPY4
cg24183504,,
cg24393100,,
cg24837623,TSS1500;TSS1500;TSS1500,ZFY;ZFY;ZFY
cg25012987,TSS200;TSS200,LOC401629;LOC401630
cg25032547,TSS1500,TTTY15
cg25059696,,
cg25071634,TSS200,TTTY20
cg25363292,,
cg25427172,,
cg25443613,TSS200,RPS4Y1
cg25518695,Body;TSS200;5'UTR,NLGN4Y;NLGN4Y;NLGN4Y
cg25538674,Body,TSPY4
cg25640065,,
cg25667057,,
cg25704368,TSS1500,TTTY20
cg25705492,Body,TSPY4
cg25756647,TSS1500,CYorf15A
cg25815185,TSS200;TSS200;TSS200,KDM5D;KDM5D;KDM5D
cg25914522,,
cg25918849,Body,TTTY13
cg26046487,Body;Body;Body;Body,HSFY1;HSFY2;HSFY2;HSFY1
cg26058907,TSS200,RPS4Y2
cg26198148,TSS1500,TMSB4Y
cg26251715,Body,TTTY14
cg26475999,Body,TSPY4
cg26488634,,
cg26497631,,
cg26517491,TSS200;TSS200;TSS200,KDM5D;KDM5D;KDM5D
cg26520468,,
cg26928789,TSS1500,TTTY10
cg26983430,5'UTR;1stExon;5'UTR,RBMY1J;RBMY1J;RBMY1F
cg26983535,TSS200,EIF1AY
cg27049643,TSS200;TSS200;TSS200,KDM5D;KDM5D;KDM5D
cg27214488,TSS200;Body;TSS1500,NLGN4Y;NLGN4Y;NLGN4Y
cg27248959,,
cg27254225,,
cg27265812,Body;TSS1500,NLGN4Y;NLGN4Y
cg27325772,,
cg27355713,TSS200;TSS200;TSS200,TBL1Y;TBL1Y;TBL1Y
cg27402302,,
cg27433982,TSS1500;TSS200;TSS1500,ZFY;ZFY;ZFY
cg27443332,Body;TSS1500,NLGN4Y;NLGN4Y
cg27509967,Body;Body;Body,KDM5D;KDM5D;KDM5D
cg27539833,3'UTR,TGIF2LY
cg27545697,,
cg27578568,TSS200,TTTY19
cg27611726,5'UTR;5'UTR;5'UTR,TBL1Y;TBL1Y;TBL1Y
cg27636129,TSS200,SRY
cg00005617,Body,EFNB1
cg00006815,TSS200,IL1RAPL2
cg00008932,TSS1500,RPS4X
cg00008945,5'UTR,HMGN5
cg00011200,1stExon;5'UTR,EBP;EBP
cg00011891,Body,UBL4A
cg00012395,,
cg00014152,Body;Body;5'UTR;1stExon,WDR13;WDR13;WDR13;WDR13
cg00016522,5'UTR,MTM1
cg00016934,5'UTR;5'UTR,BCOR;BCOR
cg00018204,Body;TSS1500,GABRE;MIR452
cg00018261,TSS200,ZCCHC12
cg00021786,TSS200,FTHL17
cg00023415,Body,RBM3
cg00026186,TSS200;TSS200;TSS200;TSS1500;TSS1500,PORCN;PORCN;PORCN;PORCN;PORCN
cg00027454,3'UTR,RP2
cg00029931,TSS1500,RPL36A
cg00030125,1stExon,DCAF12L2
cg00031235,TSS1500,PPP1R3F
cg00032666,TSS1500,MAMLD1
cg00034639,Body,SRD5A1P1
cg00034731,,
cg00037117,,
cg00040419,TSS1500,TCEANC
cg00040455,1stExon,NR0B1
cg00040923,5'UTR,ARMCX1
cg00046099,TSS200,GNL3L
cg00051952,,
cg00060882,TSS1500,EIF2S3
cg00070542,,
cg00072288,TSS200,NAA10
cg00072587,Body,MAP3K15
cg00072799,1stExon;3'UTR,GPR174;GPR174
cg00072839,5'UTR,PCDH11X
cg00074638,TSS1500,ARSE
cg00078867,Body,WAS
cg00098732,TSS1500;TSS1500,HS6ST2;HS6ST2
cg00108056,Body;Body;TSS1500,RPL10;RPL10;SNORA70
cg00108737,,
cg00111239,Body,NHSL2
cg00112256,5'UTR;1stExon,DOCK11;DOCK11
cg00113623,1stExon;1stExon;5'UTR;5'UTR;1stExon;Body;5'UTR;1stExon,TAZ;TAZ;DNASE1L1;DNASE1L1;TAZ;TAZ;DNASE1L1;TAZ
cg00114625,5'UTR;1stExon;5'UTR;1stExon,PDK3;PDK3;PDK3;PDK3
cg00114913,TSS1500;TSS1500,LONRF3;LONRF3
cg00115511,TSS200;5'UTR;5'UTR,LOC401588;ZNF674;ZNF674
cg00116265,TSS1500;TSS1500;TSS1500;TSS1500,ZNF673;ZNF673;ZNF673;ZNF673
cg00116709,Body;TSS200;Body;Body,MAGIX;MAGIX;MAGIX;MAGIX
cg00117066,TSS1500,GRPR
cg00117663,TSS200,MAGEB16
cg00120172,TSS1500;TSS1500,ATRX;ATRX
cg00121904,TSS200,MAOB
cg00123001,,
cg00124708,TSS1500;TSS1500;TSS1500,ARMCX3;ARMCX3;ARMCX3
cg00126657,TSS200,SSX6
cg00126698,5'UTR,BTK
cg00128197,TSS200;TSS200,HSD17B10;HSD17B10
cg00130498,,
cg00136787,,
cg00139317,TSS200;Body;TSS200,PCYT1B;PCYT1B;PCYT1B
cg00139547,TSS200;TSS200;TSS200,LAMP2;LAMP2;LAMP2
cg00140085,1stExon;TSS1500;1stExon,SLC6A8;SLC6A8;SLC6A8
cg00140189,5'UTR,CLCN4
cg00141845,TSS1500;TSS1500,UPRT;UPRT
cg00142683,5'UTR;1stExon;5'UTR;1stExon,UBE2A;UBE2A;UBE2A;UBE2A
cg00145348,1stExon,APEX2
cg00147819,Body,MED12
cg00148031,,
cg00148587,Body,LOC158572
cg00150363,TSS1500;TSS1500,MID2;MID2
cg00150874,5'UTR;5'UTR,BCOR;BCOR
cg00151234,TSS1500,PGK1
cg00156802,,
cg00157034,TSS1500;TSS1500;5'UTR;TSS1500;5'UTR,MAGEA12;MAGEA12;CSAG1;MAGEA12;CSAG1
cg00158454,,
cg00168417,TSS1500,KIAA1210
cg00170369,,
cg00173270,,
cg00177456,,
cg00179446,1stExon;5'UTR;1stExon;5'UTR,UPF3B;UPF3B;UPF3B;UPF3B
cg00179598,Body;Body;Body;Body,SRPX;SRPX;SRPX;SRPX
cg00180631,TSS1500,MTM1
cg00188257,,
cg00188409,,
cg00188971,3'UTR;3'UTR;3'UTR,FTSJ1;FTSJ1;FTSJ1
cg00190642,TSS200;Body,H2BFWT;MIR1256
cg00191052,TSS1500,CHST7
cg00191758,1stExon,MAGEH1
cg00191903,Body,MUM1L1
cg00192980,Body,TAF9B
cg00194519,Body,MGC16121
cg00194585,,
cg00195237,,
cg00200463,5'UTR;1stExon;5'UTR;Body,STARD8;STARD8;STARD8;STARD8
cg00202711,TSS200,HTR2C
cg00203568,Body,ARHGEF6
cg00203804,Body,LOC100132831
cg00205905,TSS1500;TSS1500,PRRG1;PRRG1
cg00206332,Body,GABRE
cg00206414,5'UTR;5'UTR;5'UTR;5'UTR,BCOR;BCOR;BCOR;BCOR
cg00207916,,
cg00213805,TSS1500;TSS1500;TSS1500;TSS1500,AIFM1;AIFM1;AIFM1;AIFM1
cg00213853,TSS1500;TSS1500;TSS1500;TSS1500,MPP1;MPP1;MPP1;MPP1
cg00213957,5'UTR;TSS200,PDZD11;KIF4A
cg00216997,TSS200,GPKOW
cg00221961,TSS1500,CA5B
cg00224026,5'UTR;5'UTR;1stExon;1stExon,CXorf48;CXorf48;CXorf48;CXorf48
cg00227584,,
cg00228620,,
cg00230685,5'UTR;5'UTR;5'UTR;5'UTR,SCML1;SCML1;SCML1;SCML1
cg00231549,,
cg00235887,TSS1500;TSS1500;TSS1500,TBL1X;TBL1X;TBL1X
cg00238052,TSS1500,TCEAL2
cg00238131,TSS1500;TSS1500,CITED1;CITED1
cg00240113,TSS200,ZIC3
cg00241051,5'UTR;1stExon,FRMD7;FRMD7
cg00241296,5'UTR;1stExon,IL1RAPL2;IL1RAPL2
cg00241907,TSS200;TSS200,TMSB4X;TMSL3
cg00242233,Body,ARHGEF9
cg00243584,,
cg00243747,3'UTR;3'UTR,TAF7L;TAF7L
cg00245012,TSS200;TSS200;TSS200,SPIN2B;SPIN2B;SPIN2B
cg00250879,Body,ARHGEF6
cg00253811,TSS1500;TSS1500,PIGA;PIGA
cg00255219,,
cg00256358,TSS200,GPR119
cg00258480,TSS200,PIM2
cg00260448,TSS1500,MAP3K7IP3
cg00261039,5'UTR;5'UTR,BCOR;BCOR
cg00263759,5'UTR,TMEM187
cg00264378,1stExon;5'UTR;1stExon;5'UTR,CLCN5;CLCN5;CLCN5;CLCN5
cg00265812,Body;Body;TSS200;TSS200,LOC100133957;LOC100133957;UXT;UXT
cg00266918,TSS200;TSS200;TSS200;TSS200,SCML1;SCML1;SCML1;SCML1
cg00267352,5'UTR;1stExon,MAMLD1;MAMLD1
cg00267883,,
cg00271516,,
cg00272286,5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR,ARL13A;ARL13A;ARL13A;ARL13A;ARL13A;ARL13A
cg00276426,TSS200;TSS200,MORC4;MORC4
cg00279529,TSS1500;TSS200;TSS1500,TKTL1;TEX28;TKTL1
cg00279797,5'UTR;TSS1500;TSS1500,AMMECR1;AMMECR1;AMMECR1
cg00290944,TSS200,PAGE2B
cg00291164,3'UTR;3'UTR,ZDHHC9;ZDHHC9
cg00291222,3'UTR;3'UTR,ARMCX2;ARMCX2
cg00291929,TSS1500;TSS1500,TEX11;TEX11
cg00292305,TSS1500,CD40LG
cg00295573,TSS1500;TSS1500;TSS1500,MAGEA8;MAGEA8;MAGEA8
cg00303108,Body;Body,RBM41;RBM41
cg00304884,,
cg00321056,Body;TSS1500;TSS1500,IQSEC2;IQSEC2;IQSEC2
cg00323457,TSS1500,RAI2
cg00328965,5'UTR;5'UTR,ELF4;ELF4
cg00329040,Body,FRMPD4
cg00331433,Body;5'UTR;1stExon,SYAP1;SYAP1;SYAP1
cg00337921,,
cg00347850,Body,RP2
cg00348113,Body;Body,SLC7A3;SLC7A3
cg00349460,Body;5'UTR,PLXNB3;PLXNB3
cg00355945,TSS200;TSS200,HCCS;HCCS
cg00357087,TSS200;Body,MCTS1;MCTS1
cg00358459,,
cg00359973,1stExon;5'UTR;5'UTR;1stExon;TSS1500,RIBC1;RIBC1;RIBC1;RIBC1;SMC1A
cg00360298,Body;Body,CLCN5;CLCN5
cg00360365,TSS200,GNL3L
cg00363318,TSS1500;TSS1500;TSS1500,ZDHHC15;ZDHHC15;ZDHHC15
cg00366674,TSS1500;TSS1500,CLCN5;CLCN5
cg00368230,TSS1500;TSS1500,FAM58A;FAM58A
cg00369058,Body,ARHGEF9
cg00369477,5'UTR;1stExon,HTR2C;HTR2C
cg00370296,TSS1500;TSS1500,CXorf48;CXorf48
cg00373606,TSS200,EFNB1
cg00374088,,
cg00374346,Body;1stExon;3'UTR,NHSL2;RGAG4;RGAG4
cg00375105,TSS1500;TSS1500,RPL10;RPL10
cg00378473,,
cg00378717,TSS200,EIF1AX
cg00378950,Body,TGIF2LX
cg00379371,Body,PIM2
cg00379799,,
cg00379983,Body;Body,UTP14A;UTP14A
cg00380985,5'UTR,TCEAL6
cg00381376,TSS200,IQSEC2
cg00382651,TSS200;5'UTR;TSS200;5'UTR;5'UTR;TSS200;5'UTR;5'UTR;TSS200;TSS200;TSS200;TSS200;5'UTR;5'UTR;5'UTR;TSS200,MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2;MORF4L2
cg00387056,Body,MAP7D3
cg00387940,5'UTR,MTM1
cg00388637,,
cg00389276,TSS200,FAM9C
cg00389552,5'UTR;5'UTR,BCOR;BCOR
cg00389918,Body;Body;Body,TAF1;BCYRN1;TAF1
cg00390049,Body,PDZD4
cg00391044,,
cg00391379,Body,SHROOM2
cg00399450,5'UTR;5'UTR,RLIM;RLIM
cg00400665,,
cg00400999,TSS200;TSS1500,BEX5;BEX5
cg00401265,TSS200,LPAR4
cg00402910,5'UTR;1stExon;1stExon,AMMECR1;AMMECR1;AMMECR1
cg00403724,TSS1500,TNMD
cg00404599,1stExon,TSC22D3
cg00406460,Body;Body,SYN1;SYN1
cg00408231,5'UTR,ARMCX1
cg00409000,Body,NHS
cg00409480,,
cg00411843,,
cg00412010,5'UTR;5'UTR;5'UTR,PAK3;PAK3;PAK3
cg00412368,5'UTR;Body;Body,FGF13;FGF13;FGF13
cg00412554,5'UTR;5'UTR;Body;Body;1stExon;TSS200;Body,KLHL13;KLHL13;KLHL13;KLHL13;KLHL13;KLHL13;KLHL13
cg00416689,TSS1500;5'UTR;5'UTR,NGFRAP1;NGFRAP1;NGFRAP1
cg00419390,,
cg00419509,1stExon;5'UTR,SPANXN2;SPANXN2
cg00420018,Body,TTC3L
cg00420717,TSS1500,DLG3
cg00422452,TSS1500,XPNPEP2
cg00423014,TSS1500,IL13RA2
