index,mean
cg03459809,0.7341309
cg03464689,0.096148044
cg03469804,0.41832393
cg03523945,0.08543528
cg03535284,0.13113499
cg03571129,0.091620244
cg03573747,0.63066435
cg03608167,0.04099966
cg03641105,0.04145384
cg03697629,0.15562953
cg03747003,0.8379499
cg03789601,0.7444933
cg03794213,0.88678306
cg03834909,0.10026242
cg03850213,0.7786211
cg03867445,0.019691419
cg03887528,0.34721273
cg03918313,0.8514519
cg03932361,0.19002128
cg03938598,0.061173238
cg03941108,0.75660527
cg03984405,0.7225639
cg03995852,0.07285912
cg04012931,0.08464347
cg04028224,0.05870801
cg04070692,0.75798833
cg04097610,0.111361206
cg04126707,0.059799436
cg04137037,0.04958172
cg04169774,0.6728229
cg04179482,0.04554444
cg04180668,0.07308198
cg04191142,0.6036231
cg04219321,0.15755798
cg04221387,0.9397856
cg04240493,0.17977239
cg04260307,0.88173634
cg04278170,0.063636646
cg04306507,0.5648246
cg04337618,0.28436956
cg04382077,0.84933
cg04400145,0.7854456
cg04436431,0.55558693
cg04458919,0.72998315
cg04483101,0.5408719
cg04489243,0.8203789
cg04499514,0.07012924
cg04509825,0.038827155
cg04513185,0.1404413
cg04534726,0.036502216
cg04547181,0.53296024
cg04548563,0.045927387
cg04552852,0.4006685
cg04559986,0.037201464
cg04569233,0.57816344
cg04599631,0.030752795
cg04616401,0.05503892
cg04633676,0.82985383
cg04658055,0.8628395
cg04749316,0.24664553
cg04754916,0.044470876
cg04790129,0.21870355
cg04790357,0.056640603
cg04795713,0.090173334
cg04807594,0.2611326
cg04811945,0.17906724
cg04872689,0.14331383
cg04878152,0.17605333
cg04881903,0.41564804
cg04888030,0.03697979
cg04940526,0.48669532
cg04947949,0.8362534
cg04956306,0.29095525
cg05005301,0.15635481
cg05007997,0.32664928
cg05050482,0.0757086
cg05050884,0.1077438
cg05094264,0.06931905
cg05100739,0.07795105
cg05106269,0.07056715
cg05115162,0.040465083
cg05135714,0.048181992
cg05209483,0.1467889
cg05246303,0.1069992
cg05259765,0.89934474
cg05293430,0.22135442
cg05305400,0.04994018
cg05345967,0.08169474
cg05385434,0.3463023
cg05415724,0.06894869
cg05475277,0.88780266
cg05490963,0.16980039
cg05506498,0.86926216
cg05545172,0.088604085
cg05558399,0.8821462
cg05605921,0.0841819
cg05618647,0.08811543
cg05629721,0.100810036
cg05658858,0.047127753
cg05664072,0.099425256
cg05673638,0.14866576
cg05693489,0.07155289
cg05710753,0.16537574
cg05723552,0.7069597
cg05757530,0.7669466
cg05761277,0.07461403
cg05770797,0.057937775
cg05772104,0.62897176
cg05795931,0.07071979
cg05839875,0.13279621
cg05872513,0.14001986
cg05902624,0.10107384
cg05917188,0.783184
cg05937873,0.09202397
cg05940240,0.86947316
cg05967855,0.11780729
cg05969567,0.70058256
cg05977992,0.33800608
cg06007331,0.12354346
cg06065608,0.44059372
cg06083642,0.7414896
cg06103301,0.16913286
cg06130365,0.13988613
cg06181531,0.06491052
cg06238491,0.07917291
cg06273041,0.07830351
cg06332859,0.036344986
cg06460013,0.79516387
cg06468626,0.70921075
cg06474323,0.024076834
cg06487986,0.053131957
cg06520450,0.84183234
cg06529027,0.08697096
cg06531943,0.043153822
cg06582575,0.19876999
cg06601993,0.84489185
cg06618866,0.11712947
cg06702721,0.029036995
cg06720722,0.7093466
cg06750585,0.05022263
cg06752633,0.83098793
cg06754565,0.04201915
cg06768188,0.0623719
cg06776999,0.20846073
cg06802812,0.07815154
cg06806080,0.76065755
cg06819473,0.88518316
cg06862692,0.06643431
cg06895502,0.041587994
cg06964191,0.08088021
cg07012832,0.7414981
cg07030950,0.8579751
cg07047068,0.2657257
cg07052387,0.07671306
cg07076661,0.06238959
cg07126263,0.066898845
cg07132517,0.048730373
cg07134589,0.024160886
cg07164133,0.20552897
cg07197642,0.16027701
cg07205460,0.023610452
cg07215695,0.48214903
cg07219844,0.5983717
cg07228817,0.08354401
cg07274406,0.045715738
cg07279178,0.07348807
cg07326765,0.64718086
cg07345108,0.21894023
cg07360021,0.074072614
cg07397033,0.5292122
cg07408114,0.116682485
cg07438246,0.72853094
cg07456831,0.07451199
cg07477034,0.28169006
cg07516976,0.06956218
cg07524456,0.27348462
cg07568430,0.71578133
cg07573937,0.45990142
cg07589166,0.077914596
cg07648738,0.043028165
cg07655450,0.0321997
cg07669182,0.43401414
cg07682434,0.8521421
cg07719512,0.46802664
cg07784959,0.5860056
cg07811074,0.8784478
cg07813275,0.8466362
cg07830103,0.054660063
cg07839457,0.46231136
cg07850154,0.37234423
cg07858113,0.18276724
cg07889337,0.057998136
cg07908874,0.83790433
cg08013810,0.4793851
cg08080145,0.73667073
cg08139238,0.9022163
cg08139855,0.83076847
cg08141928,0.06161148
cg08159663,0.50689805
cg08164315,0.15788876
cg08187585,0.06537801
cg08202720,0.8056544
cg08216021,0.08631067
cg08309251,0.47161153
cg08384314,0.080274336
cg08422803,0.37427023
cg08427717,0.05591531
cg08439901,0.033894595
cg08457178,0.075479835
cg08463932,0.5043123
cg08470742,0.13344005
cg08506046,0.059177253
cg08521800,0.08466599
cg08558449,0.08596597
cg08578823,0.040080562
cg08611430,0.06742539
cg08639843,0.17137711
cg08655589,0.059111796
cg08687386,0.10487032
cg08715914,0.21572025
cg08764927,0.7829321
cg08772265,0.1233425
cg08859278,0.5971338
cg08901339,0.5819572
cg08902698,0.44834024
cg08926287,0.35666284
cg08941080,0.8698458
cg08961906,0.055535115
cg09006159,0.29782727
cg09006592,0.043168362
cg09011473,0.8863404
cg09016822,0.09255712
cg09061824,0.07283091
cg09085792,0.7669514
cg09127400,0.08352508
cg09131512,0.8275079
cg09143964,0.8651395
cg09186685,0.07340538
cg09221015,0.13827112
cg09235583,0.089355536
cg09238677,0.07856346
cg09349940,0.061758842
cg09354037,0.058225095
cg09390974,0.09113043
cg09395034,0.07350032
cg09617319,0.84324455
cg09631059,0.73528624
cg09643587,0.07359909
cg09658678,0.8709927
cg09692677,0.101204515
cg09766355,0.80857545
cg09828641,0.8147683
cg09839635,0.10549722
cg09852601,0.09400219
cg09897604,0.16821907
cg09927508,0.059583735
cg09931872,0.77884567
cg09939831,0.06809563
cg09990440,0.040767994
cg10012394,0.083864756
cg10047572,0.16422872
cg10060574,0.108327135
cg10087598,0.06391532
cg10088685,0.716539
cg10102384,0.41263044
cg10103528,0.70335746
cg10115894,0.11530658
cg10128166,0.08496509
cg10163825,0.20831439
cg10169194,0.07042089
cg10169812,0.8747876
cg10178228,0.17472309
cg10189525,0.117290415
cg10192196,0.21888377
cg10207609,0.71657264
cg10276665,0.7693792
cg10279487,0.0378591
cg10372047,0.12950186
cg10372813,0.07079313
cg10375456,0.08121565
cg10447982,0.030241948
cg10469659,0.35064712
cg10540304,0.15968329
cg10564492,0.033699326
cg10587621,0.5206227
cg10664272,0.9000598
cg10718991,0.06446089
cg10755085,0.23296647
cg10777851,0.087179855
cg10784511,0.69072384
cg10812236,0.1760705
cg10817887,0.02803109
cg10819617,0.041330405
cg10824187,0.03527434
cg10825839,0.1604265
cg10853416,0.65095663
cg10855342,0.84865135
cg10870786,0.060865354
cg10887366,0.1843885
cg10916651,0.48251873
cg10916998,0.124418095
cg10965575,0.17681178
cg11007423,0.09647324
cg11059800,0.31165388
cg11065262,0.07465903
cg11135003,0.1534062
cg11173246,0.7950785
cg11191337,0.76805675
cg11331678,0.0712268
cg11556416,0.17072809
cg11619961,0.14132883
cg11640275,0.07473193
cg11667738,0.10871508
cg11680026,0.8502486
cg11689419,0.12227697
cg11700415,0.029368293
cg11712386,0.8100215
cg11741004,0.53515327
cg11753033,0.082600914
cg11758688,0.1914722
cg11843502,0.13264531
cg11859345,0.5012255
cg11872561,0.09426298
cg11903188,0.8905415
cg11915309,0.8597767
cg11959387,0.86965865
cg11969002,0.07740072
cg12012524,0.64850426
cg12023692,0.8340007
cg12114392,0.067298084
cg12143439,0.09320455
cg12151124,0.08391791
cg12188416,0.6583427
cg12193099,0.03839714
cg12232308,0.07841768
cg12253437,0.05753832
cg12258811,0.44671342
cg12275410,0.7220645
cg12277122,0.08238638
cg12278799,0.065291084
cg12311057,0.074412644
cg12325285,0.06625477
cg12332902,0.32897025
cg12363545,0.0642356
cg12443481,0.022799766
cg12448933,0.22000462
cg12464638,0.4895541
cg12478978,0.113188975
cg12482755,0.05827603
cg12516305,0.053862587
cg12557418,0.040103234
cg12591404,0.036140423
cg12595667,0.22256392
cg12616484,0.8655698
cg12688234,0.53545666
cg12698626,0.6376554
cg12732155,0.06634579
cg12738349,0.20949318
cg12775742,0.5471742
cg12912690,0.24617687
cg12957096,0.07234445
cg12976883,0.20450495
cg13060970,0.24773182
cg13071185,0.6815231
cg13078388,0.08923009
cg13089947,0.066586144
cg13104938,0.42185467
cg13128596,0.6964678
cg13137376,0.14266679
cg13145644,0.8390985
cg13185030,0.07728153
cg13228442,0.19263367
cg13268919,0.06875746
cg13315706,0.3251022
cg13337949,0.10816914
cg13391363,0.032875948
cg13402773,0.07206607
cg13508557,0.09231637
cg13513804,0.81387645
cg13528513,0.66063243
cg13570982,0.059637874
cg13630962,0.5790642
cg13643894,0.08928838
cg13670615,0.15331508
cg13673094,0.12134015
cg13682095,0.16213465
cg13692121,0.49777
cg13703948,0.81447595
cg13720472,0.07705001
cg13748552,0.031801507
cg13763232,0.89266455
cg13795840,0.563178
cg13802355,0.46930248
cg13804182,0.05580022
cg13810511,0.06437231
cg13853141,0.25308073
cg13885965,0.086492516
cg13941153,0.84363693
cg13992402,0.8887951
cg14041976,0.78625405
cg14093018,0.793549
cg14112356,0.4999286
cg14137162,0.8839177
cg14190740,0.1048984
cg14196186,0.22935712
cg14198101,0.045764443
cg14204433,0.47498438
cg14277925,0.7729827
cg14279361,0.2809203
cg14279899,0.16312674
cg14399851,0.05360039
cg14444703,0.058761884
cg14452875,0.0336197
cg14484145,0.048250332
cg14508890,0.035760637
cg14558880,0.7152356
cg14584085,0.87078303
cg14591786,0.173978
cg14632030,0.7751034
cg14670303,0.0760321
cg14707269,0.06145588
cg14721618,0.10826832
cg14768946,0.16690439
cg14772599,0.8873074
cg14781262,0.86326367
cg14814876,0.048135594
cg14858951,0.021924706
cg14951497,0.7917755
cg15057581,0.13116957
cg15068083,0.048313923
cg15099037,0.5615605
cg15102430,0.86698365
cg15117548,0.04033158
cg15164194,0.25417957
cg15245631,0.8241844
cg15251779,0.14923872
cg15314170,0.106374614
cg15348974,0.11482369
cg15352829,0.35364065
cg15360181,0.33884102
cg15374234,0.26623896
cg15398617,0.03525944
cg15409712,0.65305823
cg15451100,0.063493975
cg15454698,0.07863858
cg15502888,0.06019858
cg15549931,0.069835216
cg15665081,0.8362115
cg15775005,0.05756509
cg15786280,0.1732193
cg15812322,0.46323276
cg15832436,0.061874393
cg15833843,0.08243711
cg15837913,0.21997778
cg15852258,0.10139058
cg15856055,0.12074478
cg15900387,0.83336025
cg15933451,0.28617257
cg15976636,0.752476
cg15992843,0.73050404
cg16006220,0.32897484
cg16032408,0.18583223
cg16126291,0.85606086
cg16151451,0.34986857
cg16176048,0.1543272
cg16236394,0.0439611
cg16237545,0.04576315
cg16252131,0.065606765
cg16284674,0.825472
cg16322893,0.023999508
cg16331823,0.10851634
cg16347279,0.16714396
cg16411857,0.2206511
cg16443148,0.21446772
cg16443424,0.06662902
cg16483840,0.065557085
cg16485558,0.08756507
cg16493531,0.06178806
cg16504798,0.4605648
cg16511653,0.08718511
cg16512239,0.053871877
cg16522462,0.104435645
cg16547110,0.053774215
cg16567676,0.33017364
cg16591228,0.043635383
cg16637917,0.08316881
cg16652790,0.05934095
cg16717099,0.036558535
cg16740905,0.20574248
cg16751451,0.46421126
cg16757984,0.82547784
cg16764781,0.410859
cg16794061,0.11409309
cg16851423,0.8770307
cg16886045,0.091307744
cg16890093,0.07402785
cg16899442,0.191018
cg16948082,0.062647164
cg16997989,0.06563997
cg17039369,0.0508711
cg17056607,0.20574713
cg17067528,0.05951132
cg17068985,0.07007508
cg17097874,0.0762767
cg17102112,0.5829701
cg17104151,0.41912606
cg17216759,0.07624323
cg17221444,0.15954126
cg17265419,0.17777003
cg17266690,0.72496754
cg17298666,0.08593474
cg17370163,0.15421002
cg17389738,0.09421732
cg17392730,0.075078905
cg17398233,0.059729353
cg17421097,0.05906292
cg17445830,0.0864915
cg17446824,0.05423502
cg17452277,0.028219135
cg17465569,0.6744827
cg17465881,0.05634197
cg17468616,0.8686392
cg17515545,0.12898193
cg17526462,0.16007417
cg17552759,0.75566655
cg17607231,0.19299838
cg17608103,0.22855078
cg17612991,0.8005497
cg17621438,0.29994804
cg17680792,0.09938702
cg17713010,0.07302991
cg17751569,0.88230324
cg17770886,0.12617539
cg17830174,0.092970125
cg17858662,0.86108035
cg17957172,0.08807037
cg17967780,0.21224366
cg17969902,0.87487876
cg18034041,0.18326414
cg18109673,0.030858574
cg18117393,0.88568264
cg18194038,0.06604282
cg18273401,0.8998735
cg18279467,0.159089
cg18304969,0.10758568
cg18343292,0.052379407
cg18433146,0.809186
cg18448570,0.23146912
cg18471635,0.46030098
cg18479961,0.6673906
cg18493981,0.17512238
cg18499545,0.024838304
cg18503793,0.08461905
cg18508525,0.8231091
cg18532308,0.08162396
cg18533313,0.8634501
cg18537894,0.8501315
cg18555299,0.9056438
cg18566984,0.033471074
cg18576604,0.13608508
cg18576635,0.028497826
cg18645492,0.8454368
cg18650716,0.05561569
cg18664712,0.04300731
cg18740872,0.5087673
cg18766080,0.060962126
cg18825119,0.7507644
cg18854666,0.5231076
cg18875357,0.30601162
cg18892169,0.098161735
cg18900669,0.1920318
cg18932278,0.8595631
cg18943957,0.11858041
cg18955753,0.06782749
cg18969256,0.08616095
cg18996663,0.048838228
cg19008097,0.4149781
cg19033654,0.12643944
cg19037167,0.09273063
cg19050596,0.04262693
cg19099850,0.03608967
cg19123863,0.03715749
cg19126377,0.09761344
cg19136673,0.12986045
cg19157724,0.91202074
cg19238531,0.15894638
cg19243777,0.056970444
cg19256731,0.28343284
cg19267742,0.62361556
cg19303748,0.24483447
cg19307651,0.064313635
cg19347576,0.039982144
cg19386379,0.2548131
cg19400113,0.7084776
cg19445996,0.023948042
cg19495428,0.67210674
cg19522940,0.15040852
cg19544946,0.17284958
cg19603195,0.11983106
cg19627006,0.2526695
cg19681793,0.56712914
cg19705564,0.75532377
cg19721211,0.12225005
cg19751930,0.30126458
cg19763168,0.08428601
cg19763279,0.060980074
cg19806398,0.7692475
cg19838154,0.25198552
cg19894975,0.08421822
cg19899505,0.07149928
cg19919989,0.8106229
cg19928046,0.029812573
cg19966212,0.10159329
cg19972858,0.07334368
cg19984781,0.079043835
cg20008101,0.40396458
cg20036207,0.74663234
cg20105087,0.60771376
cg20180585,0.054796312
cg20192481,0.1676101
cg20210057,0.8758228
cg20284982,0.42373157
cg20316779,0.06538393
cg20366284,0.13302279
cg20377673,0.05101553
cg20415809,0.11315457
cg20434666,0.13910662
cg20504007,0.123599455
cg20534570,0.17196463
cg20540372,0.8479922
cg20556503,0.84123534
cg20580088,0.1663959
cg20587127,0.06284607
cg20630683,0.1496822
cg20640281,0.3489915
cg20676047,0.6290276
cg20676350,0.42058438
cg20750215,0.07655886
cg20823742,0.057379365
cg20855344,0.10896004
cg20879606,0.05162978
cg20906621,0.5863391
cg20927312,0.85990936
cg20971014,0.05254425
cg20973974,0.82721967
cg21006727,0.65989435
cg21012737,0.08085884
cg21029468,0.04903645
cg21030939,0.16734609
cg21103306,0.053772677
cg21109025,0.85836774
cg21149775,0.06934669
cg21150625,0.06372764
cg21167761,0.81745946
cg21223075,0.07283762
cg21250433,0.53758496
cg21279806,0.1382804
cg21291896,0.051856454
cg21322855,0.0653583
cg21335266,0.16032115
cg21444330,0.17309448
cg21457909,0.1331946
cg21481141,0.45285368
cg21500342,0.052931443
cg21534413,0.044281613
cg21568368,0.22747572
cg21585640,0.9701177
cg21610516,0.18887803
cg21652958,0.13305055
cg21668803,0.89000624
cg21717959,0.07080622
cg21723486,0.49492645
cg21736592,0.10461715
cg21765224,0.042596683
cg21771173,0.08740109
cg21808406,0.3055686
cg21824413,0.06761517
cg21826272,0.8072327
cg21847347,0.11966851
cg21859434,0.05410352
cg21892720,0.40750772
cg21926612,0.21994801
cg21974239,0.08704605
cg21985352,0.08046803
cg22007922,0.11698989
cg22011966,0.08143104
cg22027408,0.051327635
cg22034203,0.63728255
cg22172973,0.09030711
cg22190833,0.13448715
cg22211917,0.72100806
cg22234194,0.022941908
cg22295383,0.09087817
cg22325823,0.34957567
cg22334879,0.049957883
cg22396409,0.16601051
cg22413126,0.17440863
cg22468803,0.06752935
cg22477971,0.7888649
cg22497008,0.8274181
cg22498996,0.10674878
cg22550299,0.4114679
cg22626522,0.23631473
cg22699620,0.53689444
cg22714419,0.17334165
cg22749642,0.67181367
cg22781074,0.19348301
cg22809017,0.50613433
cg22814256,0.07086194
cg22835851,0.59452707
cg22854434,0.16320844
cg22858170,0.6536461
cg22917487,0.83101994
cg22923827,0.09732678
cg23008153,0.36988953
cg23010205,0.7988448
cg23042318,0.058446996
cg23072629,0.62152207
cg23072823,0.11697799
cg23081670,0.07474493
cg23089438,0.037804347
cg23095260,0.052279625
cg23096144,0.7334252
cg23171871,0.04972008
cg23205183,0.8942662
cg23250587,0.021918818
cg23343973,0.0709015
cg23374992,0.25793195
cg23443660,0.07338134
cg23534766,0.81350225
cg23538717,0.050286498
cg23538718,0.12561083
cg23611945,0.24677218
cg23672828,0.45278874
cg23676784,0.09672384
cg23734815,0.07029105
cg23756354,0.86647344
cg23799375,0.2837894
cg23832237,0.29606918
cg23838375,0.111903794
cg23892568,0.79889625
cg23905308,0.02462394
cg23915792,0.10447689
cg23927002,0.17612736
cg23963397,0.9039383
cg23983436,0.062287915
cg23985214,0.076720566
cg23989912,0.06438362
cg24000189,0.040550526
cg24019521,0.07098828
cg24033957,0.74657327
cg24053148,0.48283604
cg24130739,0.271845
cg24134897,0.6902649
cg24167037,0.08523554
cg24175522,0.9163497
cg24182521,0.23378944
cg24283093,0.77753603
cg24326130,0.05524425
cg24326142,0.0797145
cg24354272,0.766182
cg24360773,0.06463272
cg24361620,0.052485283
cg24363824,0.7707995
cg24407096,0.09786225
cg24424217,0.82296425
cg24548564,0.052694052
cg24578853,0.1555844
cg24625115,0.09874721
cg24692607,0.02806407
cg24707889,0.49922886
cg24744104,0.05889453
cg24754334,0.061998505
cg24767041,0.08321429
cg24789299,0.7456151
cg24815934,0.20945542
cg24816866,0.88261354
cg24831107,0.06512472
cg24868305,0.32788345
cg24869272,0.41549537
cg24880057,0.059945807
cg24893844,0.07030118
cg24928687,0.88117856
cg24931346,0.73941076
cg24995347,0.76869947
cg25024074,0.030332347
cg25152404,0.57340336
cg25161092,0.88581175
cg25258233,0.10428202
cg25263238,0.7937134
cg25358289,0.20542233
cg25382848,0.02972319
cg25384897,0.041253097
cg25515269,0.06253311
cg25534244,0.031383947
cg25543316,0.06587984
cg25561939,0.042297464
cg25568091,0.025811778
cg25579356,0.046630178
cg25652029,0.038408037
cg25664622,0.16139777
cg25726357,0.8618805
cg25730577,0.08593993
cg25757697,0.8316414
cg25763945,0.19127417
cg25764570,0.5814712
cg25769020,0.08992439
cg25796098,0.09426446
cg25824226,0.038227957
cg25826457,0.047083594
cg25881170,0.42375427
cg25982140,0.058799084
cg26015190,0.042773046
cg26066361,0.7655993
cg26069252,0.07873398
cg26071135,0.2504609
cg26079699,0.08844628
cg26119894,0.1327461
cg26138637,0.75037897
cg26187962,0.7920926
cg26245302,0.04036654
cg26246740,0.25431842
cg26260819,0.026033193
cg26269802,0.110420525
cg26280713,0.19478852
cg26297819,0.12490645
cg26327548,0.8697406
cg26335127,0.23199354
cg26425669,0.11873184
cg26432347,0.07614727
cg26437842,0.12799746
cg26476820,0.62614834
cg26503653,0.060634542
cg26530971,0.06998046
cg26549174,0.07292573
cg26552621,0.5900501
cg26571142,0.07024705
cg26597539,0.03165794
cg26668632,0.11198158
cg26694487,0.07304252
cg26742859,0.050638765
cg26747885,0.14352427
cg26755097,0.09182619
cg26789053,0.07009897
cg26803289,0.78199667
cg26819793,0.04972769
cg26829379,0.051302344
cg26910594,0.0717382
cg26914390,0.07170647
cg26928497,0.15833376
cg26950332,0.9501245
cg26963976,0.022594666
cg26965275,0.063109346
cg26996236,0.08095987
cg26998429,0.0656879
cg27068707,0.8703463
cg27139457,0.57932246
cg27182019,0.0619391
cg27186013,0.2628039
cg27228563,0.047025472
cg27232057,0.08258941
cg27260617,0.16723725
cg27280575,0.0705856
cg27280787,0.84838665
cg27332938,0.14891312
cg27383174,0.803565
cg27383365,0.88388646
cg27394566,0.6734944
cg27405321,0.09802473
cg27423177,0.24383253
cg27425452,0.0482003
cg27447689,0.050666787
cg27459529,0.22215249
cg27545367,0.10830418
cg27576209,0.063626185
cg27582235,0.09406299
cg27625491,0.7929018
cg27634258,0.12306028
cg27637521,0.08731975
cg27639620,0.08949232
cg00493400,0.045924757
cg00547068,0.8185762
cg00791074,0.2598722
cg00860590,0.7931969
cg00907842,0.30883282
cg01073708,0.7739331
cg01085225,0.07473337
cg01235305,0.79187965
cg01281285,0.18168585
cg01444397,0.10263861
cg01515802,0.18065195
cg01526210,0.048884023
cg01554777,0.84063905
cg01728495,0.8119592
cg02122981,0.6814035
cg02157827,0.38247862
cg02464073,0.51614165
cg02657012,0.07957235
cg02995206,0.054146837
cg03088990,0.16200294
cg03128268,0.42611548
cg03166550,0.052032217
cg03219514,0.84318817
cg03610073,0.66182995
cg03752138,0.60902566
cg03860890,0.15410484
cg03897456,0.06311673
cg03992976,0.4375492
cg04050578,0.07452751
cg04050728,0.39229605
cg04212619,0.08760509
cg04321224,0.30414772
cg04332373,0.19316877
cg04367486,0.06177451
cg04601775,0.47298503
cg04727116,0.06693341
cg04799664,0.8460053
cg04824304,0.03701183
cg04948941,0.091829404
cg04956913,0.09227326
cg05046858,0.814114
cg05064645,0.086716615
cg05129081,0.44733548
cg05229898,0.044885922
cg05242261,0.10413042
cg05303524,0.07666412
cg05440824,0.83063895
cg05608543,0.32792363
cg05697726,0.0635229
cg05803631,0.08465526
cg06003169,0.06186723
cg06013215,0.08530908
cg06179011,0.40565145
cg06244016,0.28280118
cg06405222,0.112337604
cg06468208,0.12918548
cg06530960,0.07522817
cg06534422,0.070890635
cg06654697,0.1470308
cg06677660,0.06647364
cg06679534,0.044745386
cg06870868,0.08686529
cg06923343,0.5971661
cg06952671,0.06591104
cg06955919,0.066072255
cg07052015,0.052933384
cg07059151,0.10573519
cg07218288,0.07632011
cg07223648,0.5750785
cg07269682,0.27725744
cg07475232,0.053225353
cg07691484,0.06404375
cg07710020,0.04458961
cg08540958,0.20020987
cg08546297,0.046850704
cg08578023,0.10586857
cg08587820,0.03830257
cg08661469,0.17052683
cg08710757,0.7478673
cg08794940,0.06806405
cg08830139,0.56418824
cg09006015,0.107656844
cg09154880,0.57558876
cg09400566,0.619353
cg09435798,0.08752433
cg09609212,0.12164511
cg09623286,0.09780952
cg09686773,0.078686915
cg09824255,0.88764143
cg09829580,0.114678115
cg10001720,0.46105132
cg10130403,0.16460963
cg10132694,0.19578199
cg10268711,0.104245394
cg10385522,0.5282564
cg10449408,0.17924696
cg10526659,0.14413917
cg10783797,0.12108939
cg10790723,0.06723304
cg11255154,0.12847155
cg11350053,0.089510135
cg11393848,0.4302163
cg11706729,0.08122554
cg12024826,0.09633063
cg12137194,0.056043055
cg12251508,0.28408745
cg12552889,0.78733987
cg12554857,0.2757471
cg12642705,0.9056149
cg12654790,0.68350774
cg12721792,0.034549754
cg12731773,0.505043
cg12776156,0.25919142
cg12940473,0.869266
cg12983165,0.22340322
cg12994587,0.10027081
cg13140564,0.08752474
cg13165140,0.11975716
cg13168221,0.69805723
cg13178511,0.14942312
cg13259118,0.06919741
cg13370900,0.06478717
cg13424909,0.12300516
cg13518031,0.852218
cg13587533,0.12385634
cg13602242,0.12457918
cg13603062,0.08799514
cg13703437,0.35769784
cg13906362,0.592778
cg14058932,0.86147463
cg14094960,0.10511045
cg14215390,0.64690053
cg14433074,0.0716618
cg14479884,0.6332084
cg14584255,0.68897563
cg14740204,0.08107718
cg14871010,0.8996456
cg15037661,0.075380675
cg15044121,0.8050253
cg15074838,0.790616
cg15095917,0.19403285
cg15164881,0.75036263
cg15172844,0.11032466
cg15210234,0.15533908
cg15220194,0.08984283
