chrName,markPos,markName
Y,22737896.0,cg03750315
Y,2658057.0,cg03767353
Y,8120126.0,cg03769088
Y,24454927.0,cg03827298
Y,19625308.0,cg03905640
Y,26716289.0,cg03930849
Y,9215053.0,cg04016144
Y,16634027.0,cg04021548
Y,14100573.0,cg04023335
Y,6778623.0,cg04042030
Y,6131007.0,cg04123665
Y,2655740.0,cg04169747
Y,20488293.0,cg04170994
Y,9170562.0,cg04193779
Y,14649201.0,cg04303809
Y,9158941.0,cg04351468
Y,16637061.0,cg04419680
Y,15591617.0,cg04448376
Y,13911503.0,cg04462340
Y,3447814.0,cg04477336
Y,7426653.0,cg04493908
Y,9387798.0,cg04559508
Y,15866837.0,cg04576441
Y,7142046.0,cg04689676
Y,16634373.0,cg04691144
Y,15591260.0,cg04790916
Y,17568097.0,cg04792227
Y,6117321.0,cg04817258
Y,8501021.0,cg04831594
Y,2804320.0,cg04840163
Y,13477005.0,cg04864270
Y,9342990.0,cg04958669
Y,7428198.0,cg04964672
Y,23566572.0,cg05051262
Y,9449618.0,cg05098815
Y,15015176.0,cg05128824
Y,7141248.0,cg05163709
Y,8571846.0,cg05202434
Y,14100276.0,cg05213048
Y,21155270.0,cg05230942
Y,6172783.0,cg05367916
Y,9528418.0,cg05378695
Y,6136711.0,cg05408674
Y,7142073.0,cg05480730
Y,6742689.0,cg05530472
Y,9303646.0,cg05544622
Y,9476544.0,cg05557315
Y,14649668.0,cg05608794
Y,7140718.0,cg05618150
Y,21729069.0,cg05621349
Y,21729555.0,cg05672930
Y,6133838.0,cg05678960
Y,21729058.0,cg05725925
Y,9641402.0,cg05782707
Y,6114255.0,cg05865243
Y,14774195.0,cg05890011
Y,16942232.0,cg05939513
Y,15017297.0,cg05940236
Y,6738929.0,cg05954446
Y,13462412.0,cg05964935
Y,24044078.0,cg05999368
Y,20488280.0,cg06060201
Y,21666309.0,cg06065495
Y,21726406.0,cg06231362
Y,8147958.0,cg06237805
Y,16634255.0,cg06247034
Y,22917937.0,cg06322277
Y,15591533.0,cg06479204
Y,21728952.0,cg06502680
Y,2803610.0,cg06558765
Y,8551551.0,cg06576965
Y,9368165.0,cg06587955
Y,21240004.0,cg06628792
Y,9173300.0,cg06636270
Y,9931079.0,cg06855731
Y,24445690.0,cg06865724
Y,15863486.0,cg07456370
Y,7142752.0,cg07607525
Y,14100068.0,cg07728631
Y,21729314.0,cg07731488
Y,22917087.0,cg07747963
Y,6263841.0,cg07765982
Y,16733930.0,cg07795413
Y,6113261.0,cg07851521
Y,2657936.0,cg07939587
Y,15451782.0,cg07950979
Y,7140572.0,cg08045599
Y,9605072.0,cg08053115
Y,8150875.0,cg08160949
Y,6114379.0,cg08242338
Y,9237650.0,cg08258654
Y,28555550.0,cg08265308
Y,15015601.0,cg08314875
Y,9161051.0,cg08357313
Y,4867968.0,cg08455548
Y,15015995.0,cg08528516
Y,15866447.0,cg08593141
Y,14533505.0,cg08596608
Y,9214483.0,cg08635406
Y,2708972.0,cg08673225
Y,6131963.0,cg08680991
Y,8148094.0,cg08702825
Y,22737969.0,cg08715207
Y,8145779.0,cg08739478
Y,16733442.0,cg08816194
Y,22738029.0,cg08820785
Y,6891543.0,cg08921682
Y,22735320.0,cg09081202
Y,14074689.0,cg09093035
Y,14107195.0,cg09197443
Y,10033460.0,cg09223632
Y,21666078.0,cg09228985
Y,14081314.0,cg09230658
Y,16942154.0,cg09300505
Y,9365070.0,cg09350919
Y,20501241.0,cg09408193
Y,9385586.0,cg09460641
Y,7141818.0,cg09546548
Y,2655942.0,cg09595415
Y,4867908.0,cg09703571
Y,6780027.0,cg09728865
Y,14533708.0,cg09730640
Y,15012764.0,cg09732580
Y,16636697.0,cg09748856
Y,16733251.0,cg09804407
Y,2823782.0,cg09829904
Y,15016590.0,cg09856092
Y,14100824.0,cg09898573
Y,14074025.0,cg10051237
Y,8681688.0,cg10067523
Y,21729144.0,cg10076560
Y,22736833.0,cg10172760
Y,2802975.0,cg10213302
Y,9366496.0,cg10239257
Y,20508275.0,cg10252249
Y,24453757.0,cg10267609
Y,2655977.0,cg10338539
Y,15864778.0,cg10363397
Y,16632438.0,cg10422744
Y,4867963.0,cg10465579
Y,2801877.0,cg10557773
Y,22738771.0,cg10593480
Y,22737391.0,cg10620659
Y,20748782.0,cg10646950
Y,23566863.0,cg10666546
Y,21041339.0,cg10691859
Y,15016598.0,cg10698069
Y,22681436.0,cg10799208
Y,21239219.0,cg10811597
Y,10035202.0,cg10835413
Y,22917104.0,cg10841270
Y,9707927.0,cg10959847
Y,16637142.0,cg10990737
Y,23756676.0,cg11021362
Y,2802287.0,cg11131351
Y,22737663.0,cg11225091
Y,21239607.0,cg11684211
Y,21239332.0,cg11816202
Y,2655866.0,cg11898347
Y,6134650.0,cg12456573
Y,9747748.0,cg13252613
Y,15863367.0,cg13268984
Y,22736584.0,cg13308744
Y,27210334.0,cg13365400
Y,6341961.0,cg13419214
Y,6775803.0,cg13618458
Y,2654978.0,cg13654344
Y,21208621.0,cg13765957
Y,6137453.0,cg13805219
Y,24453658.0,cg13808036
Y,21238886.0,cg13845521
Y,14074873.0,cg13851368
Y,9304971.0,cg13861458
Y,5608629.0,cg13884608
Y,9365108.0,cg14005657
Y,22918261.0,cg14029254
Y,14652924.0,cg14133106
Y,19678535.0,cg14151065
Y,14774019.0,cg14157445
Y,2802217.0,cg14170959
Y,15016705.0,cg14180491
Y,9930240.0,cg14210405
Y,14076009.0,cg14248084
Y,28555912.0,cg14273923
Y,14537211.0,cg14303457
Y,15031167.0,cg14442616
Y,15817372.0,cg14463736
Y,10037020.0,cg14466580
Y,23757241.0,cg14467015
Y,21729049.0,cg14492024
Y,2802103.0,cg14526044
Y,7676811.0,cg14671357
Y,10033382.0,cg14720093
Y,14774198.0,cg14741114
Y,17569363.0,cg14742615
Y,7569246.0,cg14778208
Y,21867702.0,cg14931215
Y,7146170.0,cg14933403
Y,2802332.0,cg14972466
Y,21664604.0,cg15027426
Y,22737505.0,cg15059553
Y,14529720.0,cg15183843
Y,6778939.0,cg15197499
Y,14773684.0,cg15273954
Y,21100472.0,cg15281205
Y,4868368.0,cg15295597
Y,21906636.0,cg15329860
Y,21239461.0,cg15345074
Y,22737424.0,cg15422579
Y,15016579.0,cg15429127
Y,4872931.0,cg15431336
Y,24052532.0,cg15462332
Y,24036882.0,cg15516537
Y,2657879.0,cg15563434
Y,21906974.0,cg15662272
Y,9747821.0,cg15682806
Y,21729251.0,cg15682993
Y,6954228.0,cg15700967
Y,14774193.0,cg15746461
Y,13914013.0,cg15758480
Y,7569967.0,cg15781156
Y,21665021.0,cg15794778
Y,9306450.0,cg15810474
Y,6172428.0,cg15849038
Y,9303715.0,cg15935877
Y,19691502.0,cg16292375
Y,23694891.0,cg16552926
Y,9195514.0,cg16626452
Y,20488269.0,cg16894943
Y,19678528.0,cg17115812
Y,14649051.0,cg17430262
Y,15593045.0,cg17560699
Y,14078666.0,cg17651935
Y,21729665.0,cg17660627
Y,22917782.0,cg17741448
Y,9193058.0,cg17769199
Y,15863901.0,cg17812515
Y,15019332.0,cg17816615
Y,9214205.0,cg17834650
Y,9340946.0,cg17837162
Y,9382523.0,cg17913570
Y,27009430.0,cg17939569
Y,6742726.0,cg17972491
Y,15816361.0,cg18032798
Y,2807288.0,cg18058072
Y,15016622.0,cg18077436
Y,14646665.0,cg18085787
Y,16636984.0,cg18113731
Y,9742930.0,cg18163559
Y,7177888.0,cg18168924
Y,14649262.0,cg18188392
Y,16636990.0,cg19244032
Y,6388486.0,cg20106158
Y,6114404.0,cg20256738
Y,7141681.0,cg20401549
Y,14812997.0,cg20474581
Y,17568616.0,cg20764275
Y,21729037.0,cg20864678
Y,28555536.0,cg21106100
Y,24549725.0,cg22051787
Y,9172448.0,cg22509014
Y,20508362.0,cg23308414
Y,17567486.0,cg23834181
Y,9194584.0,cg24016855
Y,9384015.0,cg24183504
Y,9745653.0,cg24393100
Y,2802900.0,cg24837623
Y,19691491.0,cg25012987
Y,14773536.0,cg25032547
Y,7431190.0,cg25059696
Y,9172441.0,cg25071634
Y,13472366.0,cg25363292
Y,23566730.0,cg25427172
Y,2709605.0,cg25443613
Y,16636258.0,cg25518695
Y,9197029.0,cg25538674
Y,23569324.0,cg25640065
Y,17567474.0,cg25667057
Y,9173280.0,cg25704368
Y,9307448.0,cg25705492
Y,21728575.0,cg25756647
Y,21906868.0,cg25815185
Y,24452543.0,cg25914522
Y,23753332.0,cg25918849
Y,20736147.0,cg26046487
Y,22917942.0,cg26058907
Y,15814685.0,cg26198148
Y,21236229.0,cg26251715
Y,9344960.0,cg26475999
Y,14108207.0,cg26488634
Y,24331358.0,cg26497631
Y,21906943.0,cg26517491
Y,14099742.0,cg26520468
Y,22682393.0,cg26928789
Y,24549675.0,cg26983430
Y,22737594.0,cg26983535
Y,21906893.0,cg27049643
Y,16635501.0,cg27214488
Y,10035199.0,cg27248959
Y,15811945.0,cg27254225
Y,16634594.0,cg27265812
Y,9178472.0,cg27325772
Y,6778543.0,cg27355713
Y,13589640.0,cg27402302
Y,2802985.0,cg27433982
Y,16634795.0,cg27443332
Y,21877683.0,cg27509967
Y,3447947.0,cg27539833
Y,10037049.0,cg27545697
Y,8572427.0,cg27578568
Y,6783873.0,cg27611726
Y,2655927.0,cg27636129
X,68059898.0,cg00005617
X,103810908.0,cg00006815
X,71498597.0,cg00008932
X,80377379.0,cg00008945
X,48380234.0,cg00011200
X,153714660.0,cg00011891
X,129472061.0,cg00012395
X,48457128.0,cg00014152
X,149737876.0,cg00016522
X,40035961.0,cg00016934
X,151128776.0,cg00018204
X,117957689.0,cg00018261
X,31090306.0,cg00021786
X,48435152.0,cg00023415
X,48367230.0,cg00026186
X,46740285.0,cg00027454
X,100645741.0,cg00029931
X,125299403.0,cg00030125
X,49124819.0,cg00031235
X,149613398.0,cg00032666
X,138529221.0,cg00034639
X,68348071.0,cg00034731
X,44730718.0,cg00037117
X,13670660.0,cg00040419
X,30326676.0,cg00040455
X,100806880.0,cg00040923
X,54556443.0,cg00046099
X,153605299.0,cg00051952
X,24072811.0,cg00060882
X,79830095.0,cg00070542
X,153200492.0,cg00072288
X,19531567.0,cg00072587
X,78427682.0,cg00072799
X,91035267.0,cg00072839
X,2883307.0,cg00074638
X,48542398.0,cg00078867
X,132096915.0,cg00098732
X,153627317.0,cg00108056
X,117628241.0,cg00108737
X,71238329.0,cg00111239
X,117629928.0,cg00112256
X,153640221.0,cg00113623
X,24483478.0,cg00114625
X,118107540.0,cg00114913
X,46404799.0,cg00115511
X,46306111.0,cg00116265
X,49020091.0,cg00116709
X,16140434.0,cg00117066
X,35816347.0,cg00117663
X,77042539.0,cg00120172
X,43741826.0,cg00121904
X,13395880.0,cg00123001
X,100877463.0,cg00124708
X,47967250.0,cg00126657
X,100640503.0,cg00126698
X,53461455.0,cg00128197
X,129192712.0,cg00130498
X,153704948.0,cg00136787
X,24665544.0,cg00139317
X,119603329.0,cg00139547
X,152954284.0,cg00140085
X,10128888.0,cg00140189
X,74493352.0,cg00141845
X,118708623.0,cg00142683
X,55026862.0,cg00145348
X,70349036.0,cg00147819
X,25021725.0,cg00148031
X,49642080.0,cg00148587
X,107068750.0,cg00150363
X,40003284.0,cg00150874
X,77359363.0,cg00151234
X,19358457.0,cg00156802
X,151903752.0,cg00157034
X,136509526.0,cg00158454
X,118285788.0,cg00168417
X,47481995.0,cg00170369
X,106691272.0,cg00173270
X,152927170.0,cg00177456
X,118986947.0,cg00179446
X,38078359.0,cg00179598
X,149736640.0,cg00180631
X,34677877.0,cg00188257
X,139592612.0,cg00188409
X,48343409.0,cg00188971
X,103268431.0,cg00190642
X,46432770.0,cg00191052
X,55478814.0,cg00191758
X,105451070.0,cg00191903
X,77394971.0,cg00192980
X,133679545.0,cg00194519
X,131154158.0,cg00194585
X,68722118.0,cg00195237
X,67913573.0,cg00200463
X,113818410.0,cg00202711
X,135850876.0,cg00203568
X,40691438.0,cg00203804
X,37208111.0,cg00205905
X,151140984.0,cg00206332
X,39949510.0,cg00206414
X,152666651.0,cg00207916
X,129300008.0,cg00213805
X,154034091.0,cg00213853
X,69509697.0,cg00213957
X,48980153.0,cg00216997
X,15755566.0,cg00221961
X,134305728.0,cg00224026
X,53123426.0,cg00227584
X,152782399.0,cg00228620
X,17755839.0,cg00230685
X,33744176.0,cg00231549
X,9430465.0,cg00235887
X,101380291.0,cg00238052
X,71527298.0,cg00238131
X,136648241.0,cg00240113
X,131262001.0,cg00241051
X,103811315.0,cg00241296
X,12993156.0,cg00241907
X,62954565.0,cg00242233
X,119022103.0,cg00243584
X,100523724.0,cg00243747
X,57148068.0,cg00245012
X,135847852.0,cg00250879
X,15353923.0,cg00253811
X,135991858.0,cg00255219
X,129519536.0,cg00256358
X,48776587.0,cg00258480
X,30907780.0,cg00260448
X,40006123.0,cg00261039
X,153245522.0,cg00263759
X,49687306.0,cg00264378
X,47518579.0,cg00265812
X,17755541.0,cg00266918
X,149613734.0,cg00267352
X,129111502.0,cg00267883
X,48658022.0,cg00271516
X,100224722.0,cg00272286
X,106243545.0,cg00276426
X,153523467.0,cg00279529
X,109561918.0,cg00279797
X,55101346.0,cg00290944
X,128939277.0,cg00291164
X,100910662.0,cg00291222
X,70129657.0,cg00291929
X,135729978.0,cg00292305
X,149009554.0,cg00295573
X,106360881.0,cg00303108
X,134569362.0,cg00304884
X,53311582.0,cg00321056
X,17879951.0,cg00323457
X,129243062.0,cg00328965
X,12600990.0,cg00329040
X,16737800.0,cg00331433
X,129091288.0,cg00337921
X,46696907.0,cg00347850
X,70149293.0,cg00348113
X,153031002.0,cg00349460
X,11129241.0,cg00355945
X,119738550.0,cg00357087
X,102945549.0,cg00358459
X,53449900.0,cg00359973
X,49779544.0,cg00360298
X,54556536.0,cg00360365
X,74743636.0,cg00363318
X,49686431.0,cg00366674
X,152865160.0,cg00368230
X,62972602.0,cg00369058
X,113818635.0,cg00369477
X,134306695.0,cg00370296
X,68048660.0,cg00373606
X,68758562.0,cg00374088
X,71349037.0,cg00374346
X,153625785.0,cg00375105
X,23764087.0,cg00378473
X,20160007.0,cg00378717
X,89177498.0,cg00378950
X,48774742.0,cg00379371
X,12154656.0,cg00379799
X,129042628.0,cg00379983
X,101397146.0,cg00380985
X,53350680.0,cg00381376
X,102941915.0,cg00382651
X,135332628.0,cg00387056
X,149742400.0,cg00387940
X,153653174.0,cg00388637
X,13062862.0,cg00389276
X,40028487.0,cg00389552
X,70589283.0,cg00389918
X,153082274.0,cg00390049
X,136510091.0,cg00391044
X,9866388.0,cg00391379
X,73834086.0,cg00399450
X,68369933.0,cg00400665
X,101410998.0,cg00400999
X,78003113.0,cg00401265
X,109561221.0,cg00402910
X,99839289.0,cg00403724
X,107018431.0,cg00404599
X,47433415.0,cg00406460
X,100807848.0,cg00408231
X,17395816.0,cg00409000
X,38115655.0,cg00409480
X,139584448.0,cg00411843
X,110339837.0,cg00412010
X,138285393.0,cg00412368
X,117107719.0,cg00412554
X,102631887.0,cg00416689
X,57024196.0,cg00419390
X,142804014.0,cg00419509
X,74962543.0,cg00420018
X,69663586.0,cg00420717
X,128872061.0,cg00422452
X,114252499.0,cg00423014
X,110514231.0,cg00426668
X,68441389.0,cg00427681
X,77166217.0,cg00428012
X,118708830.0,cg00428314
X,23799775.0,cg00431602
X,46697120.0,cg00433220
X,20280171.0,cg00433890
X,153201653.0,cg00434413
X,25021643.0,cg00451631
X,2847503.0,cg00452819
X,103498075.0,cg00455738
X,9858993.0,cg00456723
X,18372736.0,cg00457389
X,17393449.0,cg00458505
X,20157965.0,cg00459767
X,148622572.0,cg00466309
X,20009661.0,cg00466819
X,123480594.0,cg00467547
X,25040358.0,cg00467854
X,39949232.0,cg00473051
X,48334413.0,cg00473354
X,49644500.0,cg00478198
X,134185269.0,cg00479885
X,47696603.0,cg00481999
X,41112620.0,cg00484111
X,85403143.0,cg00484940
X,114253315.0,cg00488364
X,136627602.0,cg00489811
X,45015865.0,cg00491350
X,18709116.0,cg00497084
X,73835412.0,cg00510327
X,37350627.0,cg00514746
X,18707777.0,cg00517765
X,134156667.0,cg00523465
X,49089903.0,cg00524424
X,136647793.0,cg00525383
X,151806225.0,cg00529027
X,6451812.0,cg00531965
X,48645024.0,cg00536175
X,107979988.0,cg00538420
X,13397493.0,cg00543604
X,154493750.0,cg00547789
X,24666268.0,cg00550141
X,45017137.0,cg00551957
X,153210234.0,cg00553200
X,79278012.0,cg00554969
X,118012313.0,cg00570097
X,152940274.0,cg00571700
X,65042096.0,cg00572146
X,40594678.0,cg00573298
X,103495623.0,cg00574800
X,134232238.0,cg00575851
X,57934090.0,cg00577623
X,139012736.0,cg00578645
X,49047791.0,cg00581583
X,49779175.0,cg00582864
X,49020114.0,cg00583618
X,135632947.0,cg00583858
X,99665588.0,cg00584971
X,47248289.0,cg00586014
X,73759065.0,cg00586321
X,150250164.0,cg00588456
X,75249222.0,cg00592494
X,77037960.0,cg00594844
X,9000352.0,cg00595610
X,13339472.0,cg00595697
X,7137332.0,cg00596686
X,51636568.0,cg00597858
X,152938750.0,cg00598664
X,8769528.0,cg00600110
X,118699184.0,cg00603890
X,67718648.0,cg00604086
X,22266117.0,cg00606069
X,119005506.0,cg00607036
X,90689946.0,cg00608151
X,101853885.0,cg00609239
X,101380608.0,cg00611101
X,48454041.0,cg00612628
X,108717536.0,cg00614938
X,103809062.0,cg00615010
X,40012582.0,cg00615738
X,102943966.0,cg00615794
X,154444551.0,cg00618396
X,110039536.0,cg00619443
X,152162559.0,cg00620602
X,152989492.0,cg00621925
X,118925635.0,cg00622384
X,100914950.0,cg00622389
X,129116224.0,cg00623388
X,132353139.0,cg00625743
X,134156624.0,cg00625841
X,23925866.0,cg00627024
X,47931806.0,cg00632130
X,46432929.0,cg00632374
X,129040194.0,cg00634642
X,47518136.0,cg00636562
X,153151929.0,cg00641092
X,113624155.0,cg00644637
X,153656930.0,cg00645049
X,2847561.0,cg00646140
X,48776613.0,cg00646659
X,51075046.0,cg00648125
X,13587678.0,cg00650640
X,101380386.0,cg00651446
X,3630619.0,cg00658396
X,31285029.0,cg00661180
X,46433828.0,cg00666173
X,53713885.0,cg00667781
X,102319340.0,cg00668426
X,7895511.0,cg00668694
X,134049678.0,cg00673020
X,111699191.0,cg00673685
X,55100096.0,cg00675244
X,24691104.0,cg00679603
X,118617111.0,cg00679726
X,79590905.0,cg00680081
X,48815747.0,cg00680673
X,118828778.0,cg00685229
X,48398048.0,cg00685925
X,53030043.0,cg00688681
X,54834244.0,cg00690049
X,150861833.0,cg00692892
X,113997817.0,cg00694968
X,100545995.0,cg00695046
X,107226116.0,cg00695324
X,154488728.0,cg00697812
X,53122826.0,cg00698744
X,48824499.0,cg00705055
X,69356087.0,cg00713642
X,15697533.0,cg00714323
X,80457681.0,cg00715011
X,10084289.0,cg00718129
X,50024233.0,cg00718858
X,133681567.0,cg00719224
X,150397568.0,cg00721658
X,9858470.0,cg00722467
X,75393425.0,cg00723034
X,46696265.0,cg00723973
X,48690473.0,cg00723997
X,67867238.0,cg00724728
X,102630411.0,cg00725777
X,12810331.0,cg00725912
X,62975065.0,cg00727483
X,133371084.0,cg00729461
X,140982540.0,cg00730224
X,135334923.0,cg00735876
X,106567457.0,cg00735883
X,111874418.0,cg00735885
X,48684296.0,cg00738702
X,152875780.0,cg00739467
X,145077291.0,cg00739582
X,131157326.0,cg00739787
X,12924184.0,cg00741717
X,153287830.0,cg00742240
X,77041832.0,cg00743068
X,130191788.0,cg00743412
X,153038917.0,cg00744851
X,102862621.0,cg00745293
X,124454052.0,cg00748144
X,34165065.0,cg00750740
X,44732817.0,cg00751785
X,107977583.0,cg00752874
X,17986297.0,cg00757453
X,133369578.0,cg00762681
X,73439472.0,cg00763315
X,154842689.0,cg00763725
X,114423111.0,cg00763907
X,17545806.0,cg00765686
X,101771142.0,cg00765885
X,72223388.0,cg00767637
X,49054690.0,cg00768158
X,92928711.0,cg00768439
X,136650951.0,cg00769064
X,133594079.0,cg00769799
X,40510247.0,cg00771185
X,24487341.0,cg00772918
X,49295370.0,cg00772962
X,26157145.0,cg00773875
X,47343198.0,cg00775115
X,21659776.0,cg00775286
X,53111427.0,cg00776430
X,47479114.0,cg00779763
X,68727150.0,cg00780578
X,17653183.0,cg00781047
X,40506067.0,cg00781978
X,103498585.0,cg00783137
X,110513957.0,cg00785877
X,40506177.0,cg00787015
X,118105739.0,cg00788815
X,46696474.0,cg00790086
X,19002639.0,cg00799224
X,152224090.0,cg00800095
X,69509009.0,cg00803922
X,154302208.0,cg00804510
X,46404864.0,cg00805116
X,3264341.0,cg00805156
X,130192134.0,cg00809111
X,48769107.0,cg00810519
X,82763328.0,cg00810883
X,49831097.0,cg00812293
X,147062702.0,cg00812634
X,23685984.0,cg00813142
X,153775885.0,cg00813156
X,134846987.0,cg00813765
X,77582839.0,cg00813999
X,107681737.0,cg00815013
X,23925454.0,cg00815770
X,77154821.0,cg00816548
X,37699631.0,cg00817749
X,105281285.0,cg00817885
X,41782297.0,cg00818649
X,138291593.0,cg00819012
X,67912078.0,cg00820131
X,54521170.0,cg00822942
X,53310810.0,cg00822998
X,68048563.0,cg00823357
X,26576402.0,cg00824273
X,49189225.0,cg00824714
X,128789389.0,cg00825441
X,38663062.0,cg00829575
X,79827218.0,cg00831032
X,35937697.0,cg00832136
X,77359535.0,cg00832270
X,55515653.0,cg00834229
X,68047847.0,cg00839572
X,51640699.0,cg00839869
X,154445068.0,cg00845806
X,152939154.0,cg00849191
X,138285828.0,cg00850648
X,152689318.0,cg00854925
X,70364566.0,cg00854963
X,77358961.0,cg00855706
X,21776346.0,cg00855923
X,15518741.0,cg00861899
X,101967017.0,cg00862041
X,63005938.0,cg00868980
X,119004292.0,cg00869298
X,111924370.0,cg00874863
X,107070410.0,cg00877056
X,39972039.0,cg00877150
X,21392544.0,cg00878023
X,149930926.0,cg00881203
X,3236105.0,cg00881487
X,70401955.0,cg00881557
X,47930854.0,cg00883449
X,119247023.0,cg00890110
X,54384537.0,cg00895705
X,48532921.0,cg00898159
X,118602569.0,cg00901211
X,119445864.0,cg00901375
X,49776519.0,cg00901393
X,40439693.0,cg00902308
X,63425896.0,cg00904184
X,119249786.0,cg00907920
X,70323289.0,cg00908601
X,19366087.0,cg00909097
X,10085400.0,cg00909388
X,108780265.0,cg00910720
X,2984598.0,cg00911398
X,118780518.0,cg00911962
X,149014061.0,cg00913945
X,69654348.0,cg00914218
X,152529487.0,cg00916680
X,140271549.0,cg00917018
X,154115825.0,cg00917362
X,84189177.0,cg00920314
X,133507230.0,cg00920537
X,122993419.0,cg00920960
X,46938229.0,cg00926894
X,36976515.0,cg00928753
X,136645736.0,cg00929476
X,15756372.0,cg00931201
X,13587976.0,cg00932276
X,55024263.0,cg00933162
X,152985801.0,cg00934057
X,11129115.0,cg00935394
X,118708353.0,cg00935924
X,100306566.0,cg00936342
X,106690556.0,cg00936349
X,55187903.0,cg00936435
X,74145012.0,cg00937263
X,5808230.0,cg00938039
X,153035233.0,cg00938641
X,37245294.0,cg00939965
X,135962391.0,cg00940232
X,139332755.0,cg00940287
X,49966273.0,cg00941549
X,64754953.0,cg00947275
X,68113437.0,cg00948677
X,20283580.0,cg00953793
X,147581562.0,cg00958651
X,70886827.0,cg00960300
X,136113605.0,cg00960898
X,99986352.0,cg00962635
X,52651887.0,cg00962799
X,150151737.0,cg00963467
X,47861943.0,cg00965330
X,135631856.0,cg00966524
X,101975738.0,cg00968475
X,101854294.0,cg00968771
X,84259298.0,cg00969573
X,19989847.0,cg00975326
X,24167334.0,cg00977690
X,48826530.0,cg00979376
X,153363708.0,cg00981643
X,39680221.0,cg00981879
X,152709042.0,cg00984611
X,119005603.0,cg00988678
X,85403122.0,cg00993140
X,128978322.0,cg00994038
X,38186710.0,cg00996177
X,56756686.0,cg00997174
X,64886318.0,cg00997875
X,69509790.0,cg01000789
X,55935071.0,cg01001959
X,67653925.0,cg01003197
X,2715058.0,cg01003813
X,44699940.0,cg01004447
X,71458680.0,cg01004805
X,69501696.0,cg01005760
X,41586792.0,cg01008082
X,70364646.0,cg01008919
X,77166354.0,cg01009686
X,8093828.0,cg01010298
X,130423130.0,cg01010618
X,135180748.0,cg01013491
X,119125040.0,cg01019600
X,152110833.0,cg01022618
X,83758409.0,cg01024350
X,152937549.0,cg01037726
X,136510831.0,cg01039990
X,69653552.0,cg01043588
X,51137589.0,cg01044189
X,150863961.0,cg01046746
X,19989310.0,cg01051089
X,110339654.0,cg01052065
X,50024337.0,cg01054612
X,153583236.0,cg01055931
X,151999547.0,cg01056373
X,74493807.0,cg01057599
